person_name,person_id,officer_name,officer_id,candidate_name,candidate_id
"(u'Deborah L Graham',)","(25,)",Deborah L Graham,4966,,
"(u'Debra Silverstein',)","(47,)",,,Debra Silverstein,25135
"(u'Debra Silverstein',)","(47,)",Debra. Silverstein,4802,,
"(u'Edward M Burke',)","(3,)",,,Edward M Burke,2489
"(u'Edward M Burke',)","(3,)",,,Edward M Burke,10616
"(u'Edward M Burke',)","(3,)",Edward M. Burke,159,,
"(u'Edward M Burke',)","(3,)",Edward M. Burke,179,,
"(u'Edward M Burke',)","(3,)",Edward M. Burke,1195,,
"(u'Edward M Burke',)","(3,)",Edward M Burke,3330,,
"(u'Emma Mitts',)","(21,)",,,Emma Mitts,15421
"(u'Emma Mitts',)","(21,)",,,Emma Mitts,18870
"(u'Emma Mitts',)","(21,)",Emma Mitts,5549,,
"(u'George A Cardenas',)","(30,)",,,George A Cardenas,18060
"(u'George A Cardenas',)","(30,)",,,George A Cardenas,20689
"(u'George A Cardenas',)","(30,)",,,George Cardenas,23030
"(u'George A Cardenas',)","(30,)",George A Cardenas,3459,,
"(u'George A Cardenas',)","(30,)",George Cardenas,3684,,
"(u'George A Cardenas',)","(30,)",George A Cardenas,3796,,
"(u'George A Cardenas',)","(30,)",George Cardenas,4370,,
"(u'Harry Osterman',)","(23,)",,,Harry. Osterman,14699
"(u'Harry Osterman',)","(23,)",,,Harry Osterman,17080
"(u'Harry Osterman',)","(23,)",,,Harry Osterman,25127
"(u'Howard B Brookins, Jr',)","(20,)",,,"Howard B Brookins, Jr",14159
"(u'Howard B Brookins, Jr',)","(20,)",,,"Howard B Brookins, Jr",18811
"(u'Howard B Brookins, Jr',)","(20,)",,,"Howard B Brookins, Jr",21905
"(u'James A Balcer',)","(18,)",,,James A Balcer,14125
"(u'James A Balcer',)","(18,)",James Balcer,3500,,
