name,committee,status,url
Nicholas Sposato,36th Ward Independent Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24204
Pat Dowell,Citizens for Pat Dowell,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16892
Patrick J O'Connor,Friends Of Patrick J O'Connor,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=5119
Patrick J O'Connor,Citizens for Patrick O'Connor,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=4353
"Proco ""Joe"" Moreno",Friends for Proco Joe Moreno,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20809
"Proco ""Joe"" Moreno",Citizens For Moreno,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9912
"Proco ""Joe"" Moreno",1st Ward First Independent Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24042
"Regner ""Ray"" Suarez",Citizens for Suarez,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=6555
"Regner ""Ray"" Suarez",Friends of Suarez,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14968
Rey Colon,Neighbors For Rey Colon,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14238
Rey Colon,Neighbors for Rey Colon,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17037
Rey Colon,35th Ward Community Action Council,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18012
Rey Colon,Rey Colon 35th Ward Committeeman,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18010
Ricardo Munoz,Citizens for Munoz,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9487
Ricardo Munoz,22nd Ward Democratic Committeeman Fund,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11832
Ricardo Munoz,"Friends Of Garcia, Silva & Munoz",Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=13134
Roberto Maldonado,Citizens for Maldonado,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9533
Roberto Maldonado,The 26th Ward Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15492
Roderick T Sawyer,Citz To Elect Roderick T Sawyer,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=8153
Roderick T Sawyer,Citz For Roderick T Sawyer,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11715
Roderick T Sawyer,Friends of Roderick T Sawyer,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22875
Roderick T Sawyer,6th Ward Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24149
Scott Waguespack,Friends of Michael O'Connor PAC,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15805
Scott Waguespack,Citizens for Waguespack,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19898
Tim Cullerton,Citizens for Tim Cullerton,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23111
Tom Tunney,Citizens for Tunney,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17150
Tom Tunney,44th Ward Regular Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=468
Toni L Foulkes,Friends to Elect Toni L Foulkes,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20107
Toni L Foulkes,15th Ward Democratic Club of Chicago,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22910
"Walter Burnett, Jr","Friends of Walter Burnett, Jr",Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=10591
"Walter Burnett, Jr",The New 27th Ward Democratic Party,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11489
Will Burns,Friends of Will Burns,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20749
Willie B Cochran,Citizens to Elect Willie B Cochran,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19880
